source_id,title,url,source_type,used_for,reliability,notes
SRC-001,Instagram Mbak Kebab,https://www.instagram.com/mbak_kebab_/,social_media_public,"brand profile, positioning, menu signals",medium,Tidak dilakukan scraping autentikasi; perlu screenshot manual untuk final.
SRC-002,Instagram post harga lama Mbak Kebab,https://www.instagram.com/p/CQlNWPnLo-4/,social_media_public,historical price range,low,"Harga lama, perlu validasi."
SRC-003,GoFood Istanbul Kebab Turki House Moses,https://gofood.co.id/yogyakarta/restaurant/istanbul-kebab-turki-house-moses-mrican-caturtunggal-sleman-c68d116e-7cb9-4ac3-8f61-e256bce09b35,marketplace_food_public,competitor price/menu,medium,Harga berubah; cek ulang.
SRC-004,GoFood Heybab Kebab Concat,https://gofood.co.id/yogyakarta/restaurant/heybab-kebab-concat-condongcatur-depok-sleman-1abcebc6-9232-4abf-a642-1a3cfef7b451,marketplace_food_public,competitor bundle price/menu,medium,Harga berubah; cek ulang.
SRC-005,SiBakul Jogja Kebab Ayam DNayo,https://sibakuljogja.jogjaprov.go.id/detail/SB120350,government/umkm_marketplace,competitor product/price,medium,Lebih dekat ke UMKM/frozen product.
SRC-006,BPS Kecamatan Depok Dalam Angka,https://slemankab.bps.go.id/id/publication/2025/09/26/7dc02e12dc496661e2dc386d/kecamatan-depok-dalam-angka-2025.html,official_statistics,"population, education, hotel, food facilities",high,Angka dataset dalam paket sebagian berasal dari publikasi kecamatan 2022/2025 yang perlu disinkronkan tahun final.
SRC-007,BPS Kecamatan Mlati Dalam Angka,https://slemankab.bps.go.id/id/publication/2025/09/26/e9d6cb965e0d09db55e71227/kecamatan-mlati-dalam-angka-2025.html,official_statistics,"population, density, education, hotel, retail",high,Gunakan versi tahun yang konsisten bila perlu.
SRC-008,BPS Kecamatan Gamping Dalam Angka,https://slemankab.bps.go.id/id/publication/2025/09/26/bad307e62306a31830d5ce68/kecamatan-gamping-dalam-angka-2025.html,official_statistics,"population, education, hotel, restaurant, food stalls",high,Gunakan versi tahun yang konsisten bila perlu.
SRC-009,Portal Data UMKM Kabupaten Sleman,https://dataumkm.slemankab.go.id/trial/portal,government_open_data,UMKM by sector/kapanewon,medium-high,Portal dapat berubah; export ulang bila tersedia.
SRC-010,OpenStreetMap Overpass API,https://overpass-api.de/api/interpreter,open_data_api,POI scraping,medium,"Query disediakan, raw OSM perlu dijalankan ulang di IDE."
